SYSTEM,SUFFIX,CLASS_H,CLASS_NUM,CLASS_Y,PROMOTE,DIST/LY,RA,DEC,ABS_MAG,VIS_MAG
Solar System,,G,2,V,,0.00,0:00:00.0,0:00:00.0,,
Proxima Centauri,,M,5.5,V,TRUE,4.24,14:29:43.0,-62:40:46.0,,
A Centauri,A,G,2,V,,4.37,14:39:36.5,-60:50:52.0,,
A Centauri,B,K,1,V,,4.37,14:39:35.1,-60:50:14.0,,
Barnard's Star,,M,4,V,,5.96,17:57:48.5,4:41:36.0,,
Luhman 16,A,L,8,,,6.59,10:49:15.6,-53:19:06.0,,
Wolf 359,,M,6,V,,7.78,10:56:29.2,7:00:53.0,,
Lalande 21185,,M,2,V,,8.29,11:03:20.2,35:58:12.0,,
Sirius,A,A,1,V,,8.58,6:45:08.9,-16:42:58.0,,
Sirius,B,DA,2,,,8.58,6:45:08.9,-16:42:58.0,,
Luyten 726-8,A,M,5.5,V,,8.73,1:39:01.3,-17:57:01.0,,
Luyten 726-8,B,M,6,V,,8.73,1:39:01.3,-17:57:01.0,,
Ross 154,,M,3.5,V,,9.68,18:49:49.4,-23:50:10.0,,
Ross 248,,M,5.5,V,,10.32,23:41:54.7,44:10:30.0,,
Epsilon Eridani,,K,2,V,,10.52,3:32:55.8,-9:27:30.0,,
Lacaille 9352,,M,0.5,V,,10.74,23:05:52.0,-35:51:11.0,,
Ross 128,,M,4,V,,10.92,15:06:49.9,70:27:36.0,,
EZ Aquarii,A,M,5,V,,11.27,22:38:33.4,-15:17:57.0,,
EZ Aquarii,B,M,5,V,,11.27,22:38:33.4,-15:17:57.0,,
EZ Aquarii,C,M,5,V,,11.27,22:38:33.4,-15:17:57.0,,
Procyon,A,F,5,V,,11.40,7:39:18.1,5:13:30.0,,
Procyon,B,DQZ,7,,,11.40,7:39:18.1,5:13:30.0,,
61 Cygni,A,K,5,V,,11.40,21:06:53.9,38:44:58.0,,
61 Cygni,B,K,7,V,,11.40,21:06:53.9,38:44:31.0,,
Struve 2398,A,M,3,V,,11.53,18:42:46.7,59:37:49.0,,
Struve 2398,B,M,3.5,V,,11.53,18:42:46.9,59:37:37.0,,
Groombridge 34,A,M,1.5,V,,11.62,0:18:22.9,44:01:23.0,,
Groombridge 34,B,M,3.5,V,,11.62,0:18:22.9,44:01:23.0,,
Epsilon Indi,A,K,5,V,,11.82,22:03:21.7,-56:47:10.0,,
DX Cancri,,M,6.5,V,,11.83,8:29:49.5,26:46:37.0,,
Tau Ceti,,G,8,V,,11.89,1:44:04.1,-15:56:15.0,,
GJ 1061,,M,5.5,V,,11.99,3:35:59.7,-44:30:45.0,,
