SYSTEM,DESIGNATION,CLASS,VAR,MASS/SOL,APP_MAG,BAND,DIST/LY,J2000-RA,J2000-DEC,TEMP/K
Solar System,Sun,G2.0V,-,1.00E+00,-26.74,V,0,00:00.0,00:00.0,5 772
Alpha Centauri,Proxima Centauri,M5.5Ve,UV Cet,1.23E-01,11.13,V,4.24,29:43.0,-62:40:46.00,3 042
Alpha Centauri,α Cen A,G2.0V,-,1.10E+00,0.01,V,4.37,39:36.5,-60:50:02.00,5 790
Alpha Centauri,α Cen B,K1.0V,-,9.07E-01,1.33,V,4.37,39:35.1,-60:50:14.00,5 260
Barnard's Star,Barnard's Star,M4.0Ve,BY Dra,1.44E-01,9.51,V,5.98,57:48.5,41:36.2,3 134
Luhman 16,Luhman 16A,L7.5,-,4.50E-02,10.71,J,6.59,49:15.6,-53:19:06.00,1 350
Luhman 16,Luhman 16B,T0.5,-,4.00E-02,10.71,J,6.59,49:15.6,-53:19:06.00,1 210
Wolf 359,Wolf 359,M6.5Ve,UV Cet,9.00E-02,13.54,V,7.86,56:29.0,00:52.0,2 800
Lalande 21185,Lalande 21185,M2.0V,BY Dra,4.60E-01,7.52,V,8.31,03:20.2,58:11.6,3 828
Sirius,Sirius A,A1.0Vm,-,2.02E+00,-1.46,V,8.6,45:08.9,-16:42:58.02,9 940
Sirius,Sirius B,DA2,-,9.78E-01,8.44,V,8.6,45:09.0,-16:43:06.00,25 200
Luyten 726-8,BL Ceti,M5.5Ve,UV Cet,1.02E-01,12.7,V,8.73,39:01.5,-17:57:01.80,2 670
Luyten 726-8,UV Ceti,M6.0Ve,UV Cet,1.00E-01,13.2,V,8.73,39:01.5,-17:57:01.80,
Ross 154,Ross 154,M3.5V,UV Cet,1.70E-01,13.07,V,9.6,49:49.4,-23:50:10.43,3 340
Ross 248,Ross 248,M6.0V,UV Cet,1.36E-01,12.29,V,10.3,41:55.0,10:40.8,2 799
Epsilon Eridani,ε Eri,K2.0V,BY Dra,8.20E-01,3.74,V,10.48,32:55.8,-9:27:29.73,5 084
Lacaille 9352,Lacaille 9352,M0.5V,UV Cet,5.03E-01,7.34,V,10.68,05:52.0,-35:51:11.05,3 626
Ross 128,Ross 128,M4.0V,UV Cet,1.50E-01,11.13,V,11.03,47:44.4,48:16.0,3 180
WISE 1506+7027,WISE 1506+7207,T6.0,-,,14.33,J,11.1,06:49.9,27:36.2,
EZ Aquarii,EZ Aquarii A,M5.0V,-,1.10E-01,13.33,V,11.1,38:33.7,-15:57:57.30,2 650
EZ Aquarii,EZ Aquarii B,M5.0V,-,1.10E-01,13.27,V,11.1,38:33.7,-15:57:57.30,2 650
EZ Aquarii,EZ Aquarii C,M5.0V,-,1.00E-01,14.03,V,11.1,38:33.7,-15:57:57.30,2 650
Procyon,Procyon A,F5.0IV,-,1.50E+00,0.34,V,11.46,39:18.1,13:30.0,6 530
Procyon,Procyon B,DQZ,-,6.02E-01,10.7,V,11.46,39:18.1,13:30.0,7 740
61 Cygni,61 Cygni A,K5.0V,BY Dra,7.00E-01,5.2,V,11.41,06:53.9,44:57.9,4 526
61 Cygni,61 Cygni B,K7.0V,UV Cet,6.30E-01,6.05,V,11.41,21:06:55:31,44:31.4,4 077
